"","age","racem","ugloanr","actcap","actded","actmgt","actrd","actrdt","actres","acttch","bapbpr","bayr","chchg","chcon","chfam","chlay","chloc","chot","chpay","chret","chsch","ctzfor","dgrdg","dgryr","eddad","edmom","emrg","emsecdt","facadv","facben","facchal","facind","facloc","facresp","facsal","facsec","facsoc"
"223",34,"4","04","N","N","N","Y","Y","Y","Y","1",2005,"L","L","L","L","L","L","L","L","L","L","2",2008,"7","4","06","11","2","2","1","1","2","2","2","2","1"
"224",32,"1","02","N","N","N","N","N","N","N","1",2007,"Y","N","N","N","N","N","Y","N","N","1","2",2016,"4","4","09","21","1","1","1","1","1","1","1","1","1"
"225",33,"4","05","N","N","N","Y","Y","Y","N","1",2007,"L","L","L","L","L","L","L","L","L","L","1",2007,"5","4","07","21","2","2","2","2","2","2","2","2","2"
"226",30,"4","07","L","L","L","L","L","L","L","2",2008,"L","L","L","L","L","L","L","L","L","L","2",2009,"2","2","L","L","2","1","2","2","1","2","1","2","2"
"227",32,"3","02","N","N","Y","N","N","N","N","1",2005,"L","L","L","L","L","L","L","L","L","L","2",2008,"3","5","05","31","1","1","1","1","1","1","1","1","1"
"228",31,"4","02","N","Y","Y","Y","Y","N","N","2",2008,"N","N","N","N","N","N","N","N","Y","L","2",2015,"4","5","08","21","1","2","1","1","1","1","2","1","1"
"229",33,"4","05","N","N","Y","N","N","N","N","2",2005,"L","L","L","L","L","L","L","L","L","L","2",2009,"4","5","01","21","1","2","2","3","3","3","1","2","4"
"230",33,"4","02","L","L","L","L","L","L","L","2",2005,"L","L","L","L","L","L","L","L","L","L","2",2016,"7","5","L","L","1","1","2","2","3","2","1","2","2"
"231",33,"4","06","N","N","N","N","Y","N","Y","1",2006,"L","L","L","L","L","L","L","L","L","L","2",2007,"5","4","01","21","2","2","1","2","1","2","1","2","2"
"232",30,"4","05","N","N","Y","N","Y","N","Y","1",2008,"L","L","L","L","L","L","L","L","L","L","2",2012,"5","4","01","12","2","1","2","2","1","2","2","1","2"
"233",34,"1","02","N","N","Y","N","N","N","N","L",2004,"L","L","L","L","L","L","L","L","L","2","2",2006,"4","4","03","21","1","2","2","2","2","2","1","1","2"
"234",35,"4","02","Y","N","N","N","N","N","N","1",2003,"N","Y","N","N","Y","N","Y","N","N","L","4",2007,"5","5","03","21","3","1","3","2","1","3","1","1","2"
"235",35,"1","04","Y","N","Y","N","N","N","N","L",2003,"L","L","L","L","L","L","L","L","L","2","2",2016,"4","5","05","21","1","1","1","1","2","1","1","1","2"
"236",33,"4","02","L","L","L","L","L","L","L","2",2005,"L","L","L","L","L","L","L","L","L","L","4",2013,"3","3","L","L","2","2","1","2","2","2","1","2","2"
"237",35,"1","03","L","L","L","L","L","L","L","2",2006,"L","L","L","L","L","L","L","L","L","2","3",2013,"2","1","L","L","2","1","1","1","2","2","2","1","1"
"238",33,"4","02","N","N","Y","N","N","N","N","2",2006,"L","L","L","L","L","L","L","L","L","L","1",2006,"4","4","04","11","2","1","2","2","1","2","2","1","1"
"239",32,"1","05","L","L","L","L","L","L","L","1",2007,"L","L","L","L","L","L","L","L","L","L","1",2007,"3","4","L","L","2","2","2","3","2","2","2","1","3"
"240",32,"4","05","N","N","Y","N","Y","N","Y","1",2008,"L","L","L","L","L","L","L","L","L","L","2",2016,"2","2","06","12","2","2","2","2","2","2","2","1","2"
"241",33,"1","03","Y","N","N","N","N","N","N","L",2005,"L","L","L","L","L","L","L","L","L","2","1",2005,"5","2","02","21","1","1","1","1","1","1","1","1","1"
"242",32,"4","03","N","N","Y","N","Y","N","Y","1",2008,"L","L","L","L","L","L","L","L","L","L","1",2008,"2","2","04","12","2","1","1","1","1","2","1","1","2"
"243",35,"4","03","L","L","L","L","L","L","L","2",2003,"L","L","L","L","L","L","L","L","L","L","2",2008,"4","5","L","L","2","4","2","2","1","2","2","3","1"
"244",35,"4","04","N","N","N","N","Y","N","Y","2",2004,"L","L","L","L","L","L","L","L","L","L","3",2013,"2","3","01","11","2","2","1","1","2","1","2","2","1"
"245",32,"4","05","N","N","Y","N","N","N","N","2",2007,"L","L","L","L","L","L","L","L","L","L","1",2007,"4","5","02","21","2","3","2","1","1","2","2","2","3"
"246",33,"1","02","N","N","Y","N","N","N","N","2",2005,"L","L","L","L","L","L","L","L","L","L","1",2005,"5","1","02","21","2","1","2","2","2","2","1","1","2"
